label,num_images,positive_rate,roc_auc,average_precision,accuracy,precision,recall,f1
Atelectasis,1740.0,0.028735632183908046,0.8310059171597634,0.15104459485460484,0.9040229885057471,0.14545454545454545,0.48,0.22325581395348837
Cardiomegaly,1740.0,0.10862068965517241,0.8482324085160966,0.48036881846292917,0.9022988505747126,0.8275862068965517,0.12698412698412698,0.22018348623853212
Pleural_Effusion,1740.0,0.03333333333333333,0.9556664889909385,0.6359049518346648,0.9695402298850575,0.5384615384615384,0.603448275862069,0.5691056910569106
Consolidation,1740.0,0.027011494252873563,0.9016350177828606,0.2593729039516235,0.9603448275862069,0.3103448275862069,0.3829787234042553,0.34285714285714286
Edema,1740.0,0.0,,-0.0,0.9982758620689656,0.0,0.0,0.0
Emphysema,1740.0,0.0011494252873563218,0.7850978135788262,0.005753968253968254,0.9919540229885058,0.0,0.0,0.0
Fibrosis,1740.0,0.06494252873563218,0.766647992124057,0.27604528739261663,0.9362068965517242,0.6666666666666666,0.035398230088495575,0.06722689075630252
Pleural_Thickening,1740.0,0.058045977011494256,0.8112831417369925,0.28818405655276647,0.9425287356321839,0.5238095238095238,0.10891089108910891,0.18032786885245902
Pneumothorax,1740.0,0.006896551724137931,0.851658950617284,0.22924954799896255,0.9827586206896551,0.15384615384615385,0.3333333333333333,0.21052631578947367
Nodule_Mass,1740.0,0.05747126436781609,0.8316158536585365,0.38713276951030184,0.9229885057471264,0.35833333333333334,0.43,0.39090909090909093
Infiltration,1740.0,0.01896551724137931,0.7471552076121496,0.11572566604095638,0.7442528735632183,0.04424778761061947,0.6060606060606061,0.08247422680412371
MACRO_MEAN,1740.0,0.03683385579937303,0.8329998791777504,0.2571620513503086,0.9322884012539184,0.3244318712422854,0.2824649260747268,0.20789695701977493
